,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,26,Kent Bazemore,SF,6-4,195,1989-07-01,US,8,Old Dominion
1,20,Jordan Bell,C,6-8,216,1995-01-07,US,3,Oregon
2,32,Marquese Chriss,PF,6-9,240,1997-07-02,US,4,Washington
3,30,Stephen Curry,PG,6-2,185,1988-03-14,US,11,Davidson
4,23,Draymond Green,PF,6-6,230,1990-03-04,US,8,Michigan State
5,1,Damion Lee,SG,6-5,210,1992-10-21,US,3,"Drexel, Louisville"
6,5,Kevon Looney,C,6-9,222,1996-02-06,US,5,UCLA
7,2,Nico Mannion,PG,6-2,190,2001-03-14,IT,R,Arizona
8,15,Mychal Mulder,PG,6-3,184,1994-06-12,CA,1,"Vincennes University, Kentucky"
9,12,Kelly Oubre Jr.,SF,6-7,203,1995-12-09,US,5,Kansas
10,7,Eric Paschall,PF,6-6,255,1996-11-04,US,1,"Fordham, Villanova"
11,0,Gary Payton II,PG,6-3,190,1992-12-01,US,4,Oregon State
12,3,Jordan Poole,SG,6-4,194,1999-06-19,US,1,Michigan
13,6,Alen Smailagić,PF,6-10,215,2000-08-18,RS,1,
14,95,Juan Toscano-Anderson,SG,6-6,209,1993-04-10,US,1,Marquette
15,10,Brad Wanamaker,PG,6-3,210,1989-07-25,US,2,Pitt
16,22,Andrew Wiggins,PF,6-7,197,1995-02-23,CA,6,Kansas
17,33,James Wiseman,C,7-0,240,2001-03-31,US,R,Memphis
