,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,37,Kostas Antetokounmpo,PF,6-10,200,1997-11-20,GR,2,Dayton
1,12,Devontae Cacok,PF,6-7,240,1996-10-08,US,1,UNC Wilmington
2,1,Kentavious Caldwell-Pope,SG,6-5,204,1993-02-18,US,7,Georgia
3,4,Alex Caruso,PG,6-4,186,1994-02-28,US,3,Texas A&M
4,2,Quinn Cook,PG,6-1,180,1993-03-23,US,4,Duke
5,3,Anthony Davis,PF,6-10,253,1993-03-11,US,8,Kentucky
6,2,Andre Drummond,C,6-10,279,1993-08-10,US,8,UConn
7,10,Jared Dudley,PF,6-6,237,1985-07-10,US,13,Boston College
8,14,Marc Gasol,C,6-11,255,1985-01-29,ES,12,
9,15,Montrezl Harrell,C,6-7,240,1994-01-26,US,5,Louisville
10,5,Talen Horton-Tucker,SG,6-4,234,2000-11-25,US,1,Iowa State
11,23,LeBron James,PG,6-9,250,1984-12-30,US,17,
12,30,Damian Jones,C,6-11,245,1995-06-30,US,4,Vanderbilt
13,0,Kyle Kuzma,SF,6-9,221,1995-07-24,US,3,Utah
14,9,Wesley Matthews,SG,6-4,220,1986-10-14,US,11,Marquette
15,28,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,3,Green Bay
16,7,Ben McLemore,SG,6-3,195,1993-02-11,US,7,Kansas
17,88,Markieff Morris,PF,6-9,245,1989-09-02,US,9,Kansas
18,17,Dennis Schröder,SG,6-3,172,1993-09-15,DE,7,
