,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,5,Precious Achiuwa,PF,6-8,225,1999-09-19,NG,R,Memphis
1,13,Bam Adebayo,C,6-9,255,1997-07-18,US,3,Kentucky
2,"0, 8",Trevor Ariza,SF,6-8,215,1985-06-30,US,16,UCLA
3,70,Nemanja Bjelica,PF,6-10,234,1988-05-09,RS,5,
4,11,Avery Bradley,SG,6-3,180,1990-11-26,US,10,Texas
5,22,Jimmy Butler,SF,6-7,230,1989-09-14,US,9,Marquette
6,21,Dewayne Dedmon,C,7-0,245,1989-08-12,US,7,USC
7,7,Goran Dragić,PG,6-3,190,1986-05-06,SI,12,
8,8,Maurice Harkless,SF,6-7,220,1993-05-11,US,8,St. John's
9,40,Udonis Haslem,C,6-8,235,1980-06-09,US,17,Florida
10,14,Tyler Herro,SG,6-5,195,2000-01-20,US,1,Kentucky
11,28,Andre Iguodala,SF,6-6,215,1984-01-28,US,16,Arizona
12,0,Meyers Leonard,C,7-0,260,1992-02-27,US,8,Illinois
13,25,Kendrick Nunn,PG,6-2,190,1995-08-03,US,1,"Illinois, Oakland"
14,"4, 11",KZ Okpala,PF,6-8,215,1999-04-28,US,1,Stanford
15,4,Victor Oladipo,SG,6-4,213,1992-05-04,US,7,Indiana
16,9,Kelly Olynyk,C,6-11,240,1991-04-19,CA,7,Gonzaga
17,55,Duncan Robinson,SF,6-7,215,1994-04-22,US,2,"Williams, Michigan"
18,30,Chris Silva,PF,6-8,234,1996-09-19,GA,1,South Carolina
19,31,Max Strus,SF,6-5,215,1996-03-28,US,1,"Lewis (IL), DePaul"
20,2,Gabe Vincent,PG,6-3,200,1996-06-14,US,1,UC Santa Barbara
