,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,6,Jaylen Adams,PG,6-0,225,1996-05-04,US,2,St. Bonaventure
1,34,Giannis Antetokounmpo,PF,7-0,242,1994-12-06,GR,7,
2,43,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,2,
3,12,D.J. Augustin,PG,5-11,183,1987-11-10,US,12,Texas
4,3,Elijah Bryant,SG,6-5,210,1995-04-19,US,R,"Elon University, BYU"
5,24,Pat Connaughton,SG,6-5,209,1993-01-06,US,5,Notre Dame
6,3,Torrey Craig,SF,6-7,221,1990-12-19,US,3,USC Upstate
7,25,Mamadi Diakite,PF,6-9,228,1997-01-21,GN,R,Virginia
8,0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,2,Villanova
9,7,Bryn Forbes,SG,6-2,205,1993-07-23,US,4,Michigan State
10,21,Jrue Holiday,PG,6-3,205,1990-06-12,US,11,UCLA
11,44,Justin Jackson,SF,6-8,220,1995-03-28,US,3,UNC
12,0,Rodions Kurucs,SF,6-9,228,1998-02-05,LV,2,
13,11,Brook Lopez,C,7-0,282,1988-04-01,US,12,Stanford
14,15,Sam Merrill,SG,6-4,205,1996-05-15,US,R,Utah State University
15,22,Khris Middleton,SF,6-7,222,1991-08-12,US,8,Texas A&M
16,13,Jordan Nwora,SF,6-8,225,1998-09-09,US,R,Louisville
17,9,Bobby Portis,C,6-10,250,1995-02-10,US,5,Arkansas
18,5,Jeff Teague,PG,6-3,195,1988-06-10,US,11,Wake Forest
19,66,Axel Toupane,SF,6-7,197,1992-07-23,FR,2,
20,17,P.J. Tucker,PF,6-5,245,1985-05-05,US,9,Texas
21,5,D.J. Wilson,PF,6-10,231,1996-02-19,US,3,Michigan
