,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,9,RJ Barrett,SG,6-6,214,2000-06-14,CA,1,Duke
1,17,Ignas Brazdeikis,SF,6-6,221,1999-01-08,LT,1,Michigan
2,25,Reggie Bullock,SF,6-6,205,1991-03-16,US,7,UNC
3,18,Alec Burks,SG,6-6,214,1991-07-20,US,9,Colorado
4,67,Taj Gibson,C,6-9,232,1985-06-24,US,11,USC
5,0,Jared Harper,PG,5-10,175,1997-09-14,US,1,Auburn
6,20,Kevin Knox,SF,6-7,215,1999-08-11,US,2,Kentucky
7,3,Nerlens Noel,C,6-11,220,1994-04-10,US,6,Kentucky
8,11,Frank Ntilikina,PG,6-4,200,1998-07-28,BE,3,
9,6,Elfrid Payton,PG,6-3,195,1994-02-22,US,6,Louisiana
10,14,Norvel Pelle,C,6-10,231,1993-02-03,AG,1,
11,21,Theo Pinson,SG,6-5,212,1995-11-05,US,2,UNC
12,5,Immanuel Quickley,PG,6-3,190,1999-06-17,US,R,Kentucky
13,30,Julius Randle,PF,6-8,250,1994-11-29,US,6,Kentucky
14,8,Austin Rivers,SG,6-4,200,1992-08-01,US,8,Duke
15,23,Mitchell Robinson,C,7-0,240,1998-04-01,US,2,Western Kentucky
16,4,Derrick Rose,PG,6-3,200,1988-10-04,US,11,Memphis
17,4,Dennis Smith Jr.,PG,6-2,205,1997-11-25,US,3,NC State
18,1,Obi Toppin,PF,6-9,220,1998-03-04,US,R,Dayton
