,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,13,Bogdan Bogdanović,SG,6-6,220,1992-08-18,RS,3,
1,15,Clint Capela,C,6-10,240,1994-05-18,CH,6,
2,20,John Collins,PF,6-9,235,1997-09-23,US,3,Wake Forest
3,32,Kris Dunn,PG,6-3,205,1994-03-18,US,4,Providence
4,24,Bruno Fernando,C,6-9,240,1998-08-15,AO,1,Maryland
5,8,Danilo Gallinari,PF,6-10,233,1988-08-08,IT,11,
6,0,Brandon Goodwin,PG,6-0,180,1995-10-02,US,2,"Central Florida, Florida Gulf Coast"
7,18,Solomon Hill,PF,6-6,226,1991-03-18,US,7,Arizona
8,3,Kevin Huerter,SG,6-7,190,1998-08-27,US,2,Maryland
9,12,De'Andre Hunter,SF,6-8,225,1997-12-02,US,1,Virginia
10,1,Nathan Knight,PF,6-10,253,1997-09-20,US,R,William & Mary
11,4,Skylar Mays,SG,6-4,205,1997-09-05,US,R,LSU
12,17,Onyeka Okongwu,C,6-8,235,2000-12-11,US,R,USC
13,22,Cam Reddish,SF,6-8,218,1999-09-01,US,1,Duke
14,7,Rajon Rondo,PG,6-1,180,1986-02-22,US,14,Kentucky
15,19,Tony Snell,SG,6-6,213,1991-11-10,US,7,New Mexico
16,6,Lou Williams,PG,6-1,175,1986-10-27,US,15,
17,11,Trae Young,PG,6-1,164,1998-09-19,US,2,Oklahoma
