,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,24,Tony Allen,SF,6-4,213,1982-01-11,US,13,"Butler County Community College, Oklahoma State"
1,3,Ömer Aşık,C,7-0,255,1986-07-04,TR,7,
2,2,Ian Clark,SG,6-3,175,1991-03-07,US,4,Belmont
3,4,Charles Cooke,SG,6-5,196,1994-07-01,US,R,Dayton
4,0,DeMarcus Cousins,C,6-10,270,1990-08-13,US,7,Kentucky
5,27,Jordan Crawford,SG,6-4,195,1988-10-23,US,5,"Indiana, Xavier"
6,33,Dante Cunningham,SF,6-8,230,1987-04-22,US,8,Villanova
7,23,Anthony Davis,PF,6-10,253,1993-03-11,US,5,Kentucky
8,13,Cheick Diallo,PF,6-8,219,1996-09-13,ML,1,Kansas
9,1,Larry Drew II,PG,6-2,180,1990-03-05,US,1,"UNC, UCLA"
10,44,Solomon Hill,SF,6-6,226,1991-03-18,US,4,Arizona
11,11,Jrue Holiday,SG,6-3,205,1990-06-12,US,8,UCLA
12,5,Mike James,PG,6-1,189,1990-08-18,US,R,Lamar
13,12,Jalen Jones,SF,6-7,220,1993-05-27,US,R,Texas A&M
14,25,Walt Lemon Jr.,PG,6-3,180,1992-07-26,US,R,Bradley
15,34,DeAndre Liggins,SG,6-6,209,1988-03-31,US,4,Kentucky
16,21,Darius Miller,SF,6-6,225,1990-03-21,US,3,Kentucky
17,3,Nikola Mirotić,PF,6-10,250,1991-02-11,ME,3,
18,55,E'Twaun Moore,SG,6-3,191,1989-02-25,US,6,Purdue
19,14,Jameer Nelson,PG,6-0,190,1982-02-09,US,13,Saint Joseph's
20,50,Emeka Okafor,C,6-10,252,1982-09-28,US,9,UConn
21,9,Rajon Rondo,PG,6-1,180,1986-02-22,US,11,Kentucky
22,5,Josh Smith,PF,6-9,225,1985-12-05,US,12,
